Category,Title,YouTube URL,Focus/Notes,Relevant To (Inventory / Service Model)
Basic,Audio Signal Flow Explained,https://www.youtube.com/watch?v=1dQx7dLRZFM,Understanding signal flow in audio systems,Mixers / Processors
Basic,Gain Staging Tutorial,https://www.youtube.com/watch?v=AO6lFYKD3Vk,How to properly set gain levels,Mixers / Microphones
Advanced,Live Sound Mixing Complete Guide,https://www.youtube.com/watch?v=xWGLQ5KeEIA,Complete mixing fundamentals for live sound,Mixers / DSP
Advanced,PA System Tuning Tutorial,https://www.youtube.com/watch?v=zLn4AhU9lOo,System tuning and optimization techniques,Speakers / DSP
Advanced,Monitor Mixing Techniques,https://www.youtube.com/watch?v=0uP7Gkx0kYw,How to mix stage monitors effectively,Monitors / Consoles
Advanced,Understanding Phase in Audio,https://www.youtube.com/watch?v=VfBDIJ4RVGI,Phase relationships and polarity,Speakers / Subwoofers
Advanced,Complete Live Sound System Setup,https://www.youtube.com/watch?v=7-VQ0YFWlqY,Professional PA system setup walkthrough,Full PA / Event Setup
Equipment-Specific,How to Setup a Subwoofer,https://www.youtube.com/watch?v=GE-v4S0sjC8,Subwoofer configuration and tuning,Subwoofers / Crossovers
Equipment-Specific,Wireless Microphone Setup Guide,https://www.youtube.com/watch?v=J7m5fAUKh4c,Setting up wireless mic systems,Microphones / RF
Equipment-Specific,Behringer X32 Complete Tutorial,https://www.youtube.com/watch?v=7i-TwcnPkpY,Digital mixer setup and operation,Mixers / Consoles
Equipment-Specific,Live Sound Power Distribution,https://www.youtube.com/watch?v=RJOF6pwAp9I,Electrical power for sound systems,Power / Safety
Equipment-Specific,Speaker Placement Guide,https://www.youtube.com/watch?v=JBZSqZ4TWYI,Optimal speaker positioning,Speakers / Line Arrays
Safety,Proper Lifting Techniques,https://www.youtube.com/watch?v=RkohfyB4RNo,Safe lifting for heavy equipment,Crew / Logistics
Safety,Electrical Safety Basics,https://www.youtube.com/watch?v=RfJNGg-mHQo,Power safety in live events,Power / Crew
Safety,Protecting Your Hearing,https://www.youtube.com/watch?v=_UrUQN2f9lk,Hearing protection for audio engineers,Crew / Personal Safety
Safety,Stage Rigging Safety,https://www.youtube.com/watch?v=iEJQr30qYsE,Basic rigging safety awareness,Rigging / Stage
Safety,Event Safety Planning,https://www.youtube.com/watch?v=qGZm4lGFqGk,Risk management for live events,Venue / Crew
Safety,PA System Setup Safety,https://www.youtube.com/watch?v=qpPEq2_Dz3M,Safe PA setup procedures,Speakers / Mixers
