Category,Title,YouTube URL,Focus/Notes,Relevant To (Inventory / Service Model)
Basic,Live Sound 101: Essential Terms and What They Really Mean,https://www.youtube.com/watch?v=bSb9kjS58ro,Foundation terminology and core live sound concepts.,General Training
Basic,How To Be A Live Sound Engineer In 4 Steps,https://www.youtube.com/watch?v=4dsh097SyLM,Career path and workflow introduction for engineers.,General Training
Basic,Ultimate Live Sound School (Basics of Using a PA System),https://www.youtube.com/watch?v=XIdUzdQeQJA,Comprehensive beginner's guide to using PA systems.,Speakers / Mixers
Basic,Understanding Signal Flow in Live Sound,https://www.youtube.com/watch?v=tHduKq3E3Eo,Explains how audio flows through a live sound system.,Mixers / Processors
Basic,Gain Staging Explained - Live Sound Tutorial,https://www.youtube.com/watch?v=I1eYj8RrH2I,Proper gain staging to prevent distortion and noise.,Mixers / Microphones
Advanced,Live Sound Mixing Fundamentals In Under 45 Minutes,https://www.youtube.com/watch?v=gCjU-OChQlg,"Gain structure, EQ, compression, and effects in live settings.",Mixers / DSP
Advanced,System Tuning and Alignment (Smaart Basics),https://www.youtube.com/watch?v=F1xvVZC7zxM,Using measurement tools to tune and align PA systems.,Speakers / DSP
Advanced,Monitor Mixing for Stage Sound,https://www.youtube.com/watch?v=8nC_wB8s2gE,Monitor mixing techniques for performers and stage management.,Monitors / Consoles
Advanced,Understanding Phase and Polarity in Live Audio,https://www.youtube.com/watch?v=E5vRBM7sF40,Critical lesson on phase alignment between subs and tops.,Speakers / Subwoofers
Advanced,Advanced Live Sound System Setup Walkthrough,https://www.youtube.com/watch?v=_6rRhl8_Bc8,End-to-end setup of a professional touring audio rig.,Full PA / Event Setup
Equipment-Specific,Step-by-Step Guide to Setting Up a Sound System for a Live Event,https://www.youtube.com/watch?v=4t6Z2w1tL30,"Physical setup, cable routing, power sequencing.",Speakers / Mixers / Amps
Equipment-Specific,10 Years Of Live Sound Advice In 10 Minutes,https://www.youtube.com/watch?v=sTFc8kBKIUc,Quick industry tips for live sound professionals.,General Operations
Equipment-Specific,How to Set Up and Tune Subwoofers,https://www.youtube.com/watch?v=E0KyrxXf2_w,"Crossover, polarity, delay setup for subs.",Subwoofers / Crossovers
Equipment-Specific,Wireless Microphone Setup and Troubleshooting,https://www.youtube.com/watch?v=Rht0fUsDnE4,Frequency coordination and wireless reliability tips.,Microphones / RF
Equipment-Specific,Connecting and Configuring Digital Mixers (Behringer X32 Example),https://www.youtube.com/watch?v=uq7oLUZC8v0,Step-by-step X32 setup guide.,Mixers / Consoles
Equipment-Specific,PA System Power Distribution Explained,https://www.youtube.com/watch?v=lF6N_KPCJDE,Safe and balanced power setup for sound systems.,Power / Safety
Equipment-Specific,Proper Speaker Placement and Coverage Basics,https://www.youtube.com/watch?v=Qq2GICpGhko,Acoustics and coverage for live events.,Speakers / Line Arrays
Safety,Safe + Sound Week Speaker Series | How to Stay Safe When Lifting,https://www.youtube.com/watch?v=w3mE4cABvgs,Proper lifting techniques for heavy audio gear.,Crew / Logistics
Safety,Electrical Safety for Audio Engineers,https://www.youtube.com/watch?v=U1C5q9Fq6XQ,"Power safety, grounding, and GFCI awareness.",Power / Crew
Safety,Hearing Protection for Sound Engineers,https://www.youtube.com/watch?v=V6nF7iV03cQ,Protecting hearing on gigs and rehearsals.,Crew / Personal Safety
Safety,Rigging Safety Basics for Events,https://www.youtube.com/watch?v=2GZ3BqQ0U6A,Suspension and rigging awareness for live sound techs.,Rigging / Stage
Safety,Fire and Electrical Risk Management in Live Events,https://www.youtube.com/watch?v=CDmYFW4zV7E,Prevention and emergency awareness.,Venue / Crew
Safety,How To Set Up A PA System | 7-Step Walkthrough,https://www.youtube.com/watch?v=7c6lyGO0qqw,Safe connection and operation order for PA setup.,Speakers / Mixers
Safety,Load-In and Load-Out Crew Safety Tips,https://www.youtube.com/watch?v=KhYptz2K_GY,Proper load-in/out workflow and teamwork.,Crew / Logistics
