Category,Title,YouTube URL,Focus/Notes,Relevant To (Inventory / Service Model)
Basic,Understanding Signal Flow - Audio Basics,https://www.youtube.com/watch?v=yGf4ka0tD58,Explains how audio flows through a live sound system.,Mixers / Processors
Basic,Gain Staging - The Most Important Lesson,https://www.youtube.com/watch?v=TfZEg9cLAGk,Proper gain staging to prevent distortion and noise.,Mixers / Microphones
Advanced,Live Sound Mixing Tutorial - Full Walkthrough,https://www.youtube.com/watch?v=K7QXKV2_5pc,"Gain structure, EQ, compression, and effects in live settings.",Mixers / DSP
Advanced,Speaker System Tuning and Alignment,https://www.youtube.com/watch?v=yMWBPGIa6Nc,Using measurement tools to tune and align PA systems.,Speakers / DSP
Advanced,Stage Monitor Mixing Best Practices,https://www.youtube.com/watch?v=pJQBGNlENQQ,Monitor mixing techniques for performers and stage management.,Monitors / Consoles
Advanced,Phase and Polarity in Audio Systems,https://www.youtube.com/watch?v=CGfDXmNzlaM,Critical lesson on phase alignment between subs and tops.,Speakers / Subwoofers
Advanced,Professional PA System Setup Guide,https://www.youtube.com/watch?v=3tU9DP0xIMo,End-to-end setup of a professional touring audio rig.,Full PA / Event Setup
Equipment-Specific,Subwoofer Setup and Configuration Guide,https://www.youtube.com/watch?v=0gE6Z0yGeGY,"Crossover, polarity, delay setup for subs.",Subwoofers / Crossovers
Equipment-Specific,Wireless Microphone Systems Explained,https://www.youtube.com/watch?v=sJJCLTEkZoY,Frequency coordination and wireless reliability tips.,Microphones / RF
Equipment-Specific,Digital Mixer Setup Tutorial - X32/M32,https://www.youtube.com/watch?v=ow8zG9W-EOU,Step-by-step digital mixer setup guide.,Mixers / Consoles
Equipment-Specific,Power Distribution for Live Sound Systems,https://www.youtube.com/watch?v=sWDf-Vr11VM,Safe and balanced power setup for sound systems.,Power / Safety
Equipment-Specific,Speaker Placement and Coverage Optimization,https://www.youtube.com/watch?v=gJfC1iOdIGU,Acoustics and coverage for live events.,Speakers / Line Arrays
Safety,Lifting Techniques for Audio Equipment,https://www.youtube.com/watch?v=3IWhYMAcXZw,Proper lifting techniques for heavy audio gear.,Crew / Logistics
Safety,Electrical Safety in Live Events,https://www.youtube.com/watch?v=YvBl6V8NcGg,"Power safety, grounding, and GFCI awareness.",Power / Crew
Safety,Hearing Protection for Live Audio Engineers,https://www.youtube.com/watch?v=sQ1f92EFMOo,Protecting hearing on gigs and rehearsals.,Crew / Personal Safety
Safety,Rigging Basics for Audio Professionals,https://www.youtube.com/watch?v=sxQI7jW9xrU,Suspension and rigging awareness for live sound techs.,Rigging / Stage
Safety,Event Safety and Risk Management,https://www.youtube.com/watch?v=dUjvSkq1f1w,Prevention and emergency awareness.,Venue / Crew
Safety,Complete PA System Setup Tutorial,https://www.youtube.com/watch?v=BdqWqJb8H6s,Safe connection and operation order for PA setup.,Speakers / Mixers
